
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       7536
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1580
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       8040
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       12440
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       1464
  TCP    0.0.0.0:8800           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       8040
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1264
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1088
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2488
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2572
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       6116
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING       1236
  TCP    0.0.0.0:51010          0.0.0.0:0              LISTENING       7772
  TCP    10.83.207.106:139      0.0.0.0:0              LISTENING       4
  TCP    10.83.207.106:49299    172.66.0.138:443       ESTABLISHED     27276
  TCP    10.83.207.106:50062    216.239.38.223:443     ESTABLISHED     15860
  TCP    10.83.207.106:50305    142.250.77.14:443      CLOSE_WAIT      27276
  TCP    10.83.207.106:50328    142.250.66.78:443      ESTABLISHED     27276
  TCP    10.83.207.106:50332    37.203.129.51:443      TIME_WAIT       0
  TCP    10.83.207.106:50334    20.213.196.212:443     ESTABLISHED     9848
  TCP    10.83.207.106:50336    34.54.84.110:443       TIME_WAIT       0
  TCP    10.83.207.106:50337    142.250.77.10:443      TIME_WAIT       0
  TCP    10.83.207.106:50338    142.250.198.74:443     TIME_WAIT       0
  TCP    10.83.207.106:50339    142.250.198.74:443     ESTABLISHED     15860
  TCP    10.83.207.106:50340    142.250.77.10:443      ESTABLISHED     15860
  TCP    10.83.207.106:50341    142.250.77.10:443      TIME_WAIT       0
  TCP    10.83.207.106:50342    142.250.196.193:443    ESTABLISHED     15860
  TCP    10.83.207.106:50343    216.239.34.223:443     TIME_WAIT       0
  TCP    10.83.207.106:50344    34.54.84.110:443       ESTABLISHED     25520
  TCP    10.83.207.106:50491    31.13.87.51:443        ESTABLISHED     22412
  TCP    10.83.207.106:50682    23.11.39.161:80        ESTABLISHED     3664
  TCP    10.83.207.106:50683    92.223.95.95:80        ESTABLISHED     3664
  TCP    10.83.207.106:50684    142.250.198.67:80      ESTABLISHED     3664
  TCP    10.83.207.106:51118    162.159.140.140:443    ESTABLISHED     27276
  TCP    10.83.207.106:51531    40.104.20.2:443        ESTABLISHED     12220
  TCP    10.83.207.106:52583    52.123.128.14:443      ESTABLISHED     12532
  TCP    10.83.207.106:53665    162.159.140.140:443    TIME_WAIT       0
  TCP    10.83.207.106:54247    20.189.173.27:443      ESTABLISHED     15288
  TCP    10.83.207.106:54251    142.250.77.10:443      ESTABLISHED     13844
  TCP    10.83.207.106:54255    34.54.84.110:443       TIME_WAIT       0
  TCP    10.83.207.106:54256    34.54.84.110:443       TIME_WAIT       0
  TCP    10.83.207.106:54832    172.187.86.73:443      ESTABLISHED     8556
  TCP    10.83.207.106:54898    142.250.204.42:443     CLOSE_WAIT      27276
  TCP    10.83.207.106:55680    147.92.146.114:443     CLOSE_WAIT      10804
  TCP    10.83.207.106:55940    60.199.191.3:443       ESTABLISHED     27276
  TCP    10.83.207.106:56201    4.224.4.14:443         ESTABLISHED     12532
  TCP    10.83.207.106:57572    142.250.66.74:443      CLOSE_WAIT      13844
  TCP    10.83.207.106:57573    142.250.66.74:443      ESTABLISHED     13844
  TCP    10.83.207.106:57576    142.250.66.74:443      CLOSE_WAIT      13844
  TCP    10.83.207.106:57591    142.250.196.202:443    ESTABLISHED     13844
  TCP    10.83.207.106:58851    142.250.204.42:443     ESTABLISHED     19072
  TCP    10.83.207.106:58883    142.250.204.42:443     ESTABLISHED     25520
  TCP    10.83.207.106:58889    142.250.204.42:443     ESTABLISHED     6752
  TCP    10.83.207.106:59412    20.42.73.30:443        TIME_WAIT       0
  TCP    10.83.207.106:59413    20.42.73.30:443        TIME_WAIT       0
  TCP    10.83.207.106:59415    142.250.77.10:443      ESTABLISHED     6752
  TCP    10.83.207.106:59425    34.54.84.110:443       TIME_WAIT       0
  TCP    10.83.207.106:59430    216.239.34.223:443     ESTABLISHED     13844
  TCP    10.83.207.106:59433    216.239.34.223:443     ESTABLISHED     13844
  TCP    10.83.207.106:59777    162.159.140.140:443    TIME_WAIT       0
  TCP    10.83.207.106:60746    162.159.140.140:443    ESTABLISHED     27276
  TCP    10.83.207.106:60823    172.187.86.72:443      ESTABLISHED     7028
  TCP    10.83.207.106:61227    34.54.84.110:443       TIME_WAIT       0
  TCP    10.83.207.106:61228    142.250.198.67:80      TIME_WAIT       0
  TCP    10.83.207.106:61229    175.99.113.39:80       TIME_WAIT       0
  TCP    10.83.207.106:61230    34.54.84.110:443       TIME_WAIT       0
  TCP    10.83.207.106:61234    37.203.129.51:443      TIME_WAIT       0
  TCP    10.83.207.106:61237    34.54.84.110:443       TIME_WAIT       0
  TCP    10.83.207.106:61238    34.54.84.110:443       TIME_WAIT       0
  TCP    10.83.207.106:61825    206.206.82.206:80      ESTABLISHED     1464
  TCP    10.83.207.106:61970    142.250.204.42:443     ESTABLISHED     15860
  TCP    10.83.207.106:61972    4.224.112.242:443      ESTABLISHED     20820
  TCP    10.83.207.106:61983    147.92.146.129:443     ESTABLISHED     10804
  TCP    10.83.207.106:62996    34.54.84.110:443       ESTABLISHED     15860
  TCP    10.83.207.106:63909    216.239.34.223:443     ESTABLISHED     13844
  TCP    10.83.207.106:63913    216.239.34.223:443     CLOSE_WAIT      13844
  TCP    10.83.207.106:63918    20.189.173.2:443       TIME_WAIT       0
  TCP    10.83.207.106:63928    142.250.77.10:443      ESTABLISHED     25520
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       6216
  TCP    127.0.0.1:5354         127.0.0.1:61945        ESTABLISHED     6216
  TCP    127.0.0.1:5354         127.0.0.1:61946        ESTABLISHED     6216
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING       7088
  TCP    127.0.0.1:7777         0.0.0.0:0              LISTENING       6520
  TCP    127.0.0.1:7819         0.0.0.0:0              LISTENING       6476
  TCP    127.0.0.1:8800         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:9001         0.0.0.0:0              LISTENING       12196
  TCP    127.0.0.1:15292        0.0.0.0:0              LISTENING       21376
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       6856
  TCP    127.0.0.1:49670        127.0.0.1:49671        ESTABLISHED     8040
  TCP    127.0.0.1:49671        127.0.0.1:49670        ESTABLISHED     8040
  TCP    127.0.0.1:49672        127.0.0.1:49673        ESTABLISHED     8040
  TCP    127.0.0.1:49673        127.0.0.1:49672        ESTABLISHED     8040
  TCP    127.0.0.1:49820        127.0.0.1:53169        ESTABLISHED     15860
  TCP    127.0.0.1:49821        127.0.0.1:53169        ESTABLISHED     15860
  TCP    127.0.0.1:49822        127.0.0.1:53169        ESTABLISHED     15860
  TCP    127.0.0.1:49934        0.0.0.0:0              LISTENING       19072
  TCP    127.0.0.1:49934        127.0.0.1:49940        ESTABLISHED     19072
  TCP    127.0.0.1:49934        127.0.0.1:49941        ESTABLISHED     19072
  TCP    127.0.0.1:49934        127.0.0.1:49942        ESTABLISHED     19072
  TCP    127.0.0.1:49934        127.0.0.1:50331        TIME_WAIT       0
  TCP    127.0.0.1:49934        127.0.0.1:61233        TIME_WAIT       0
  TCP    127.0.0.1:49936        0.0.0.0:0              LISTENING       6752
  TCP    127.0.0.1:49936        127.0.0.1:49948        ESTABLISHED     6752
  TCP    127.0.0.1:49937        0.0.0.0:0              LISTENING       6752
  TCP    127.0.0.1:49937        127.0.0.1:50330        TIME_WAIT       0
  TCP    127.0.0.1:49937        127.0.0.1:54254        TIME_WAIT       0
  TCP    127.0.0.1:49937        127.0.0.1:61226        TIME_WAIT       0
  TCP    127.0.0.1:49937        127.0.0.1:61232        TIME_WAIT       0
  TCP    127.0.0.1:49940        127.0.0.1:49934        ESTABLISHED     6752
  TCP    127.0.0.1:49941        127.0.0.1:49934        ESTABLISHED     6752
  TCP    127.0.0.1:49942        127.0.0.1:49934        ESTABLISHED     6752
  TCP    127.0.0.1:49945        0.0.0.0:0              LISTENING       6752
  TCP    127.0.0.1:49945        127.0.0.1:49947        ESTABLISHED     6752
  TCP    127.0.0.1:49947        127.0.0.1:49945        ESTABLISHED     19072
  TCP    127.0.0.1:49948        127.0.0.1:49936        ESTABLISHED     19072
  TCP    127.0.0.1:49962        127.0.0.1:53175        ESTABLISHED     19072
  TCP    127.0.0.1:50686        127.0.0.1:51653        ESTABLISHED     25520
  TCP    127.0.0.1:50911        0.0.0.0:0              LISTENING       6720
  TCP    127.0.0.1:50912        0.0.0.0:0              LISTENING       6876
  TCP    127.0.0.1:50912        127.0.0.1:59055        ESTABLISHED     6876
  TCP    127.0.0.1:50912        127.0.0.1:59056        ESTABLISHED     6876
  TCP    127.0.0.1:51653        0.0.0.0:0              LISTENING       7076
  TCP    127.0.0.1:51653        127.0.0.1:50686        ESTABLISHED     7076
  TCP    127.0.0.1:51653        127.0.0.1:51660        ESTABLISHED     7076
  TCP    127.0.0.1:51653        127.0.0.1:51661        ESTABLISHED     7076
  TCP    127.0.0.1:51653        127.0.0.1:51663        ESTABLISHED     7076
  TCP    127.0.0.1:51653        127.0.0.1:54252        TIME_WAIT       0
  TCP    127.0.0.1:51653        127.0.0.1:59434        TIME_WAIT       0
  TCP    127.0.0.1:51655        0.0.0.0:0              LISTENING       25520
  TCP    127.0.0.1:51655        127.0.0.1:51672        ESTABLISHED     25520
  TCP    127.0.0.1:51657        0.0.0.0:0              LISTENING       25520
  TCP    127.0.0.1:51657        127.0.0.1:50333        TIME_WAIT       0
  TCP    127.0.0.1:51657        127.0.0.1:50335        TIME_WAIT       0
  TCP    127.0.0.1:51657        127.0.0.1:61235        TIME_WAIT       0
